source_patent,target_patent,matched_keywords,source_keyword_count,match_rate
RU2533693C2,RU2232476C2,0,5,0.0
RU2533039C1,RU2220629C1,4,8,0.5
RU2533077C2,RU2231220C1,0,5,0.0
RU2533150C2,RU2048496C1,0,5,0.0
RU2533048C1,RU2008860C1,0,6,0.0
RU2532846C2,RU2318299C2,0,8,0.0
RU2532531C2,RU2331989C2,1,9,0.1111
RU2533860C1,RU2254539C1,1,7,0.1429
RU2532539C2,RU2198230C2,1,6,0.1667
RU147861U1,RU194260U1,0,10,0.0
RU2532727C2,RU2201189C2,0,6,0.0
RU2532280C2,RU2127611C1,1,9,0.1111
RU2532612C2,RU85383U1,0,9,0.0
RU2532248C2,RU2233032C2,0,7,0.0
RU2532651C2,RU2110792C1,1,8,0.125
RU2532308C2,RU8938U1,0,9,0.0
RU2532513C1,RU2993U1,1,11,0.0909
RU2532706C2,RU2338336C2,0,6,0.0
RU2533963C1,RU2141800C1,0,8,0.0
RU2532385C2,RU2322955C2,0,12,0.0
RU2532616C2,RU2144U1,0,9,0.0
RU2532810C2,RU2134129C1,0,6,0.0
RU2532270C2,RU2023379C1,0,6,0.0
RU147542U1,RU173291U1,1,7,0.1429
RU2532804C2,RU2118499C1,0,6,0.0
RU2532468C1,RU96467U1,5,8,0.625
RU2532768C1,RU2241769C1,0,5,0.0
RU2533712C1,RU25010U1,0,8,0.0
RU2533335C2,RU96115551A,1,6,0.1667
RU2533646C2,RU2246749C2,0,6,0.0
RU2533441C2,RU2225034C2,0,5,0.0
RU2533451C2,RU2004131029A,0,5,0.0
RU2533058C2,RU104732U1,0,10,0.0
RU2533706C2,RU2243934C2,2,12,0.1667
RU2533500C2,RU2282392C1,0,5,0.0
RU2533829C2,RU2239919C2,1,8,0.125
RU148023U1,RU167313U1,2,12,0.1667
RU2015131957A,RU2646713C1,1,10,0.1
RU2533445C2,RU2441268C2,0,7,0.0
RU2533812C1,RU2008124859A,0,8,0.0
RU2533193C2,RU2225076C2,0,6,0.0
RU2522735C9,RU2034284C1,1,6,0.1667
RU2533539C1,RU44829U1,0,6,0.0
RU2533163C1,RU2226026C2,0,5,0.0
RU2533695C2,RU2198471C2,0,6,0.0
RU2533694C2,RU2025771C1,0,8,0.0
RU2533453C2,RU2189345C2,0,5,0.0
RU2015128360A,RU2651232C1,4,10,0.4
RU2533321C1,RU2253096C1,0,5,0.0
RU2533446C2,RU2454240C1,2,5,0.4
RU2533693C2,RU2232476C2,0,5,0.0
RU2533039C1,RU2220629C1,4,8,0.5
RU2533077C2,RU2231220C1,0,5,0.0
RU2533150C2,RU2048496C1,0,5,0.0
RU2533048C1,RU2008860C1,0,6,0.0
RU2532846C2,RU2318299C2,0,8,0.0
RU2532531C2,RU2331989C2,1,9,0.1111
RU2533860C1,RU2254539C1,1,7,0.1429
RU2532539C2,RU2198230C2,1,6,0.1667
RU147861U1,RU194260U1,0,10,0.0
RU2532727C2,RU2201189C2,0,6,0.0
RU2532280C2,RU2127611C1,1,9,0.1111
RU2532612C2,RU85383U1,0,9,0.0
RU2532248C2,RU2233032C2,0,7,0.0
RU2532651C2,RU2110792C1,1,8,0.125
RU2532308C2,RU8938U1,0,9,0.0
RU2532513C1,RU2993U1,1,11,0.0909
RU2532706C2,RU2338336C2,0,6,0.0
RU2533963C1,RU2141800C1,0,8,0.0
RU2532385C2,RU2322955C2,0,12,0.0
RU2532616C2,RU2144U1,0,9,0.0
RU2532810C2,RU2134129C1,0,6,0.0
RU2532270C2,RU2023379C1,0,6,0.0
RU147542U1,RU173291U1,1,7,0.1429
RU2532804C2,RU2118499C1,0,6,0.0
RU2532468C1,RU96467U1,5,8,0.625
RU2532768C1,RU2241769C1,0,5,0.0
RU2533712C1,RU25010U1,0,8,0.0
RU2533335C2,RU96115551A,1,6,0.1667
RU2533646C2,RU2246749C2,0,6,0.0
RU2533441C2,RU2225034C2,0,5,0.0
RU2533451C2,RU2004131029A,0,5,0.0
RU2533058C2,RU104732U1,0,10,0.0
RU2533706C2,RU2243934C2,2,12,0.1667
RU2533500C2,RU2282392C1,0,5,0.0
RU2533829C2,RU2239919C2,1,8,0.125
RU148023U1,RU167313U1,2,12,0.1667
RU2015131957A,RU2646713C1,1,10,0.1
RU2533445C2,RU2441268C2,0,7,0.0
RU2533812C1,RU2008124859A,0,8,0.0
RU2533193C2,RU2225076C2,0,6,0.0
RU2522735C9,RU2034284C1,1,6,0.1667
RU2533539C1,RU44829U1,0,6,0.0
RU2533163C1,RU2226026C2,0,5,0.0
RU2533695C2,RU2198471C2,0,6,0.0
RU2533694C2,RU2025771C1,0,8,0.0
RU2533453C2,RU2189345C2,0,5,0.0
RU2015128360A,RU2651232C1,4,10,0.4
RU2533321C1,RU2253096C1,0,5,0.0
RU2533446C2,RU2454240C1,2,5,0.4
RU2533693C2,RU2232476C2,0,5,0.0
RU2533039C1,RU2220629C1,4,8,0.5
RU2533077C2,RU2231220C1,0,5,0.0
RU2533150C2,RU2048496C1,0,5,0.0
RU2533048C1,RU2008860C1,0,6,0.0
RU2532846C2,RU2318299C2,0,8,0.0
RU2532531C2,RU2331989C2,1,9,0.1111
RU2533860C1,RU2254539C1,1,7,0.1429
RU2532539C2,RU2198230C2,1,6,0.1667
RU147861U1,RU194260U1,0,10,0.0
RU2532727C2,RU2201189C2,0,6,0.0
RU2532280C2,RU2127611C1,1,9,0.1111
RU2532612C2,RU85383U1,0,9,0.0
RU2532248C2,RU2233032C2,0,7,0.0
RU2532651C2,RU2110792C1,1,8,0.125
RU2532308C2,RU8938U1,0,9,0.0
RU2532513C1,RU2993U1,1,11,0.0909
RU2532706C2,RU2338336C2,0,6,0.0
RU2533963C1,RU2141800C1,0,8,0.0
RU2532385C2,RU2322955C2,0,12,0.0
RU2532616C2,RU2144U1,0,9,0.0
RU2532810C2,RU2134129C1,0,6,0.0
RU2532270C2,RU2023379C1,0,6,0.0
RU147542U1,RU173291U1,1,7,0.1429
RU2532804C2,RU2118499C1,0,6,0.0
RU2532468C1,RU96467U1,5,8,0.625
RU2532768C1,RU2241769C1,0,5,0.0
RU2533712C1,RU25010U1,0,8,0.0
RU2533335C2,RU96115551A,1,6,0.1667
RU2533646C2,RU2246749C2,0,6,0.0
RU2533441C2,RU2225034C2,0,5,0.0
RU2533451C2,RU2004131029A,0,5,0.0
RU2533058C2,RU104732U1,0,10,0.0
RU2533706C2,RU2243934C2,2,12,0.1667
RU2533500C2,RU2282392C1,0,5,0.0
RU2533829C2,RU2239919C2,1,8,0.125
RU148023U1,RU167313U1,2,12,0.1667
RU2015131957A,RU2646713C1,1,10,0.1
RU2533445C2,RU2441268C2,0,7,0.0
RU2533812C1,RU2008124859A,0,8,0.0
RU2533193C2,RU2225076C2,0,6,0.0
RU2522735C9,RU2034284C1,1,6,0.1667
RU2533539C1,RU44829U1,0,6,0.0
RU2533163C1,RU2226026C2,0,5,0.0
RU2533695C2,RU2198471C2,0,6,0.0
RU2533694C2,RU2025771C1,0,8,0.0
RU2533453C2,RU2189345C2,0,5,0.0
RU2015128360A,RU2651232C1,4,10,0.4
RU2533321C1,RU2253096C1,0,5,0.0
RU2533446C2,RU2454240C1,2,5,0.4
RU2533693C2,RU2232476C2,0,5,0.0
RU2533039C1,RU2220629C1,4,8,0.5
RU2533077C2,RU2231220C1,0,5,0.0
RU2533150C2,RU2048496C1,0,5,0.0
RU2533048C1,RU2008860C1,0,6,0.0
RU2532846C2,RU2318299C2,0,8,0.0
RU2532531C2,RU2331989C2,1,9,0.1111
RU2533860C1,RU2254539C1,1,7,0.1429
RU2532539C2,RU2198230C2,1,6,0.1667
RU147861U1,RU194260U1,0,10,0.0
RU2532727C2,RU2201189C2,0,6,0.0
RU2532280C2,RU2127611C1,1,9,0.1111
RU2532612C2,RU85383U1,0,9,0.0
RU2532248C2,RU2233032C2,0,7,0.0
RU2532651C2,RU2110792C1,1,8,0.125
RU2532308C2,RU8938U1,0,9,0.0
RU2532513C1,RU2993U1,1,11,0.0909
RU2532706C2,RU2338336C2,0,6,0.0
RU2533963C1,RU2141800C1,0,8,0.0
RU2532385C2,RU2322955C2,0,12,0.0
RU2532616C2,RU2144U1,0,9,0.0
RU2532810C2,RU2134129C1,0,6,0.0
RU2532270C2,RU2023379C1,0,6,0.0
RU147542U1,RU173291U1,1,7,0.1429
RU2532804C2,RU2118499C1,0,6,0.0
RU2532468C1,RU96467U1,5,8,0.625
RU2532768C1,RU2241769C1,0,5,0.0
RU2533712C1,RU25010U1,0,8,0.0
RU2533335C2,RU96115551A,1,6,0.1667
RU2533646C2,RU2246749C2,0,6,0.0
RU2533441C2,RU2225034C2,0,5,0.0
RU2533451C2,RU2004131029A,0,5,0.0
RU2533058C2,RU104732U1,0,10,0.0
RU2533706C2,RU2243934C2,2,12,0.1667
RU2533500C2,RU2282392C1,0,5,0.0
RU2533829C2,RU2239919C2,1,8,0.125
RU148023U1,RU167313U1,2,12,0.1667
RU2015131957A,RU2646713C1,1,10,0.1
RU2533445C2,RU2441268C2,0,7,0.0
RU2533812C1,RU2008124859A,0,8,0.0
RU2533193C2,RU2225076C2,0,6,0.0
RU2522735C9,RU2034284C1,1,6,0.1667
RU2533539C1,RU44829U1,0,6,0.0
RU2533163C1,RU2226026C2,0,5,0.0
RU2533695C2,RU2198471C2,0,6,0.0
RU2533694C2,RU2025771C1,0,8,0.0
RU2533453C2,RU2189345C2,0,5,0.0
RU2015128360A,RU2651232C1,4,10,0.4
RU2533321C1,RU2253096C1,0,5,0.0
RU2533446C2,RU2454240C1,2,5,0.4
RU2533693C2,RU2232476C2,0,5,0.0
RU2533039C1,RU2220629C1,4,8,0.5
RU2533077C2,RU2231220C1,0,5,0.0
RU2533150C2,RU2048496C1,0,5,0.0
RU2533048C1,RU2008860C1,0,6,0.0
RU2532846C2,RU2318299C2,0,8,0.0
RU2532531C2,RU2331989C2,1,9,0.1111
RU2533860C1,RU2254539C1,1,7,0.1429
RU2532539C2,RU2198230C2,1,6,0.1667
RU147861U1,RU194260U1,0,10,0.0
RU2532727C2,RU2201189C2,0,6,0.0
RU2532280C2,RU2127611C1,1,9,0.1111
RU2532612C2,RU85383U1,0,9,0.0
RU2532248C2,RU2233032C2,0,7,0.0
RU2532651C2,RU2110792C1,1,8,0.125
RU2532308C2,RU8938U1,0,9,0.0
RU2532513C1,RU2993U1,1,11,0.0909
RU2532706C2,RU2338336C2,0,6,0.0
RU2533963C1,RU2141800C1,0,8,0.0
RU2532385C2,RU2322955C2,0,12,0.0
RU2532616C2,RU2144U1,0,9,0.0
RU2532810C2,RU2134129C1,0,6,0.0
RU2532270C2,RU2023379C1,0,6,0.0
RU147542U1,RU173291U1,1,7,0.1429
RU2532804C2,RU2118499C1,0,6,0.0
RU2532468C1,RU96467U1,5,8,0.625
RU2532768C1,RU2241769C1,0,5,0.0
RU2533712C1,RU25010U1,0,8,0.0
RU2533335C2,RU96115551A,1,6,0.1667
RU2533646C2,RU2246749C2,0,6,0.0
RU2533441C2,RU2225034C2,0,5,0.0
RU2533451C2,RU2004131029A,0,5,0.0
RU2533058C2,RU104732U1,0,10,0.0
RU2533706C2,RU2243934C2,2,12,0.1667
RU2533500C2,RU2282392C1,0,5,0.0
RU2533829C2,RU2239919C2,1,8,0.125
RU148023U1,RU167313U1,2,12,0.1667
RU2015131957A,RU2646713C1,1,10,0.1
RU2533445C2,RU2441268C2,0,7,0.0
RU2533812C1,RU2008124859A,0,8,0.0
RU2533193C2,RU2225076C2,0,6,0.0
RU2522735C9,RU2034284C1,1,6,0.1667
RU2533539C1,RU44829U1,0,6,0.0
RU2533163C1,RU2226026C2,0,5,0.0
RU2533695C2,RU2198471C2,0,6,0.0
RU2533694C2,RU2025771C1,0,8,0.0
RU2533453C2,RU2189345C2,0,5,0.0
RU2015128360A,RU2651232C1,4,10,0.4
RU2533321C1,RU2253096C1,0,5,0.0
RU2533446C2,RU2454240C1,2,5,0.4
RU2533693C2,RU2232476C2,0,5,0.0
RU2533039C1,RU2220629C1,4,8,0.5
RU2533077C2,RU2231220C1,0,5,0.0
RU2533150C2,RU2048496C1,0,5,0.0
RU2533048C1,RU2008860C1,0,6,0.0
RU2532846C2,RU2318299C2,0,8,0.0
RU2532531C2,RU2331989C2,1,9,0.1111
RU2533860C1,RU2254539C1,1,7,0.1429
RU2532539C2,RU2198230C2,1,6,0.1667
RU147861U1,RU194260U1,0,10,0.0
RU2532727C2,RU2201189C2,0,6,0.0
RU2532280C2,RU2127611C1,1,9,0.1111
RU2532612C2,RU85383U1,0,9,0.0
RU2532248C2,RU2233032C2,0,7,0.0
RU2532651C2,RU2110792C1,1,8,0.125
RU2532308C2,RU8938U1,0,9,0.0
RU2532513C1,RU2993U1,1,11,0.0909
RU2532706C2,RU2338336C2,0,6,0.0
RU2533963C1,RU2141800C1,0,8,0.0
RU2532385C2,RU2322955C2,0,12,0.0
RU2532616C2,RU2144U1,0,9,0.0
RU2532810C2,RU2134129C1,0,6,0.0
RU2532270C2,RU2023379C1,0,6,0.0
RU147542U1,RU173291U1,1,7,0.1429
RU2532804C2,RU2118499C1,0,6,0.0
RU2532468C1,RU96467U1,5,8,0.625
RU2532768C1,RU2241769C1,0,5,0.0
RU2533712C1,RU25010U1,0,8,0.0
RU2533335C2,RU96115551A,1,6,0.1667
RU2533646C2,RU2246749C2,0,6,0.0
RU2533441C2,RU2225034C2,0,5,0.0
RU2533451C2,RU2004131029A,0,5,0.0
RU2533058C2,RU104732U1,0,10,0.0
RU2533706C2,RU2243934C2,2,12,0.1667
RU2533500C2,RU2282392C1,0,5,0.0
RU2533829C2,RU2239919C2,1,8,0.125
RU148023U1,RU167313U1,2,12,0.1667
RU2015131957A,RU2646713C1,1,10,0.1
RU2533445C2,RU2441268C2,0,7,0.0
RU2533812C1,RU2008124859A,0,8,0.0
RU2533193C2,RU2225076C2,0,6,0.0
RU2522735C9,RU2034284C1,1,6,0.1667
RU2533539C1,RU44829U1,0,6,0.0
RU2533163C1,RU2226026C2,0,5,0.0
RU2533695C2,RU2198471C2,0,6,0.0
RU2533694C2,RU2025771C1,0,8,0.0
RU2533453C2,RU2189345C2,0,5,0.0
RU2015128360A,RU2651232C1,4,10,0.4
RU2533321C1,RU2253096C1,0,5,0.0
RU2533446C2,RU2454240C1,2,5,0.4
RU2533693C2,RU2232476C2,0,5,0.0
RU2533039C1,RU2220629C1,4,8,0.5
RU2533077C2,RU2231220C1,0,5,0.0
RU2533150C2,RU2048496C1,0,5,0.0
RU2533048C1,RU2008860C1,0,6,0.0
RU2532846C2,RU2318299C2,0,8,0.0
RU2532531C2,RU2331989C2,1,9,0.1111
RU2533860C1,RU2254539C1,1,7,0.1429
RU2532539C2,RU2198230C2,1,6,0.1667
RU147861U1,RU194260U1,0,10,0.0
RU2532727C2,RU2201189C2,0,6,0.0
RU2532280C2,RU2127611C1,1,9,0.1111
RU2532612C2,RU85383U1,0,9,0.0
RU2532248C2,RU2233032C2,0,7,0.0
RU2532651C2,RU2110792C1,1,8,0.125
RU2532308C2,RU8938U1,0,9,0.0
RU2532513C1,RU2993U1,1,11,0.0909
RU2532706C2,RU2338336C2,0,6,0.0
RU2533963C1,RU2141800C1,0,8,0.0
RU2532385C2,RU2322955C2,0,12,0.0
RU2532616C2,RU2144U1,0,9,0.0
RU2532810C2,RU2134129C1,0,6,0.0
RU2532270C2,RU2023379C1,0,6,0.0
RU147542U1,RU173291U1,1,7,0.1429
RU2532804C2,RU2118499C1,0,6,0.0
RU2532468C1,RU96467U1,5,8,0.625
RU2532768C1,RU2241769C1,0,5,0.0
RU2533712C1,RU25010U1,0,8,0.0
RU2533335C2,RU96115551A,1,6,0.1667
RU2533646C2,RU2246749C2,0,6,0.0
RU2533441C2,RU2225034C2,0,5,0.0
RU2533451C2,RU2004131029A,0,5,0.0
RU2533058C2,RU104732U1,0,10,0.0
RU2533706C2,RU2243934C2,2,12,0.1667
RU2533500C2,RU2282392C1,0,5,0.0
RU2533829C2,RU2239919C2,1,8,0.125
RU148023U1,RU167313U1,2,12,0.1667
RU2015131957A,RU2646713C1,1,10,0.1
RU2533445C2,RU2441268C2,0,7,0.0
RU2533812C1,RU2008124859A,0,8,0.0
RU2533193C2,RU2225076C2,0,6,0.0
RU2522735C9,RU2034284C1,1,6,0.1667
RU2533539C1,RU44829U1,0,6,0.0
RU2533163C1,RU2226026C2,0,5,0.0
RU2533695C2,RU2198471C2,0,6,0.0
RU2533694C2,RU2025771C1,0,8,0.0
RU2533453C2,RU2189345C2,0,5,0.0
RU2015128360A,RU2651232C1,4,10,0.4
RU2533321C1,RU2253096C1,0,5,0.0
RU2533446C2,RU2454240C1,2,5,0.4
RU2533693C2,RU2232476C2,0,5,0.0
RU2533039C1,RU2220629C1,4,8,0.5
RU2533077C2,RU2231220C1,0,5,0.0
RU2533150C2,RU2048496C1,0,5,0.0
RU2533048C1,RU2008860C1,0,6,0.0
RU2532846C2,RU2318299C2,0,8,0.0
RU2532531C2,RU2331989C2,1,9,0.1111
RU2533860C1,RU2254539C1,1,7,0.1429
RU2532539C2,RU2198230C2,1,6,0.1667
RU147861U1,RU194260U1,0,10,0.0
RU2532727C2,RU2201189C2,0,6,0.0
RU2532280C2,RU2127611C1,1,9,0.1111
RU2532612C2,RU85383U1,0,9,0.0
RU2532248C2,RU2233032C2,0,7,0.0
RU2532651C2,RU2110792C1,1,8,0.125
RU2532308C2,RU8938U1,0,9,0.0
RU2532513C1,RU2993U1,1,11,0.0909
RU2532706C2,RU2338336C2,0,6,0.0
RU2533963C1,RU2141800C1,0,8,0.0
RU2532385C2,RU2322955C2,0,12,0.0
RU2532616C2,RU2144U1,0,9,0.0
RU2532810C2,RU2134129C1,0,6,0.0
RU2532270C2,RU2023379C1,0,6,0.0
RU147542U1,RU173291U1,1,7,0.1429
RU2532804C2,RU2118499C1,0,6,0.0
RU2532468C1,RU96467U1,5,8,0.625
RU2532768C1,RU2241769C1,0,5,0.0
RU2533712C1,RU25010U1,0,8,0.0
RU2533335C2,RU96115551A,1,6,0.1667
RU2533646C2,RU2246749C2,0,6,0.0
RU2533441C2,RU2225034C2,0,5,0.0
RU2533451C2,RU2004131029A,0,5,0.0
RU2533058C2,RU104732U1,0,10,0.0
RU2533706C2,RU2243934C2,2,12,0.1667
RU2533500C2,RU2282392C1,0,5,0.0
RU2533829C2,RU2239919C2,1,8,0.125
RU148023U1,RU167313U1,2,12,0.1667
RU2015131957A,RU2646713C1,1,10,0.1
RU2533445C2,RU2441268C2,0,7,0.0
RU2533812C1,RU2008124859A,0,8,0.0
RU2533193C2,RU2225076C2,0,6,0.0
RU2522735C9,RU2034284C1,1,6,0.1667
RU2533539C1,RU44829U1,0,6,0.0
RU2533163C1,RU2226026C2,0,5,0.0
RU2533695C2,RU2198471C2,0,6,0.0
RU2533694C2,RU2025771C1,0,8,0.0
RU2533453C2,RU2189345C2,0,5,0.0
RU2015128360A,RU2651232C1,4,10,0.4
RU2533321C1,RU2253096C1,0,5,0.0
RU2533446C2,RU2454240C1,2,5,0.4
RU2533693C2,RU2232476C2,0,5,0.0
RU2533039C1,RU2220629C1,4,8,0.5
RU2533077C2,RU2231220C1,0,5,0.0
RU2533150C2,RU2048496C1,0,5,0.0
RU2533048C1,RU2008860C1,0,6,0.0
RU2532846C2,RU2318299C2,0,8,0.0
RU2532531C2,RU2331989C2,1,9,0.1111
RU2533860C1,RU2254539C1,1,7,0.1429
RU2532539C2,RU2198230C2,1,6,0.1667
RU147861U1,RU194260U1,0,10,0.0
RU2532727C2,RU2201189C2,0,6,0.0
RU2532280C2,RU2127611C1,1,9,0.1111
RU2532612C2,RU85383U1,0,9,0.0
RU2532248C2,RU2233032C2,0,7,0.0
RU2532651C2,RU2110792C1,1,8,0.125
RU2532308C2,RU8938U1,0,9,0.0
RU2532513C1,RU2993U1,1,11,0.0909
RU2532706C2,RU2338336C2,0,6,0.0
RU2533963C1,RU2141800C1,0,8,0.0
RU2532385C2,RU2322955C2,0,12,0.0
RU2532616C2,RU2144U1,0,9,0.0
RU2532810C2,RU2134129C1,0,6,0.0
RU2532270C2,RU2023379C1,0,6,0.0
RU147542U1,RU173291U1,1,7,0.1429
RU2532804C2,RU2118499C1,0,6,0.0
RU2532468C1,RU96467U1,5,8,0.625
RU2532768C1,RU2241769C1,0,5,0.0
RU2533712C1,RU25010U1,0,8,0.0
RU2533335C2,RU96115551A,1,6,0.1667
RU2533646C2,RU2246749C2,0,6,0.0
RU2533441C2,RU2225034C2,0,5,0.0
RU2533451C2,RU2004131029A,0,5,0.0
RU2533058C2,RU104732U1,0,10,0.0
RU2533706C2,RU2243934C2,2,12,0.1667
RU2533500C2,RU2282392C1,0,5,0.0
RU2533829C2,RU2239919C2,1,8,0.125
RU148023U1,RU167313U1,2,12,0.1667
RU2015131957A,RU2646713C1,1,10,0.1
RU2533445C2,RU2441268C2,0,7,0.0
RU2533812C1,RU2008124859A,0,8,0.0
RU2533193C2,RU2225076C2,0,6,0.0
RU2522735C9,RU2034284C1,1,6,0.1667
RU2533539C1,RU44829U1,0,6,0.0
RU2533163C1,RU2226026C2,0,5,0.0
RU2533695C2,RU2198471C2,0,6,0.0
RU2533694C2,RU2025771C1,0,8,0.0
RU2533453C2,RU2189345C2,0,5,0.0
RU2015128360A,RU2651232C1,4,10,0.4
RU2533321C1,RU2253096C1,0,5,0.0
RU2533446C2,RU2454240C1,2,5,0.4
RU2533693C2,RU2232476C2,0,5,0.0
RU2533039C1,RU2220629C1,4,8,0.5
RU2533077C2,RU2231220C1,0,5,0.0
RU2533150C2,RU2048496C1,0,5,0.0
RU2533048C1,RU2008860C1,0,6,0.0
